Month,Year,Temperature
1,1895,25.75
2,1895,21.05
3,1895,33.5
4,1895,45.25
5,1895,56.5
6,1895,66.85
7,1895,64.9
8,1895,67.65
9,1895,62.1
10,1895,41.35
11,1895,35.9
12,1895,26.65
1,1896,17.5
2,1896,20.25
3,1896,21.7
4,1896,40.15
5,1896,52
6,1896,54.35
7,1896,60.2
8,1896,57.85
9,1896,48.5
10,1896,34.25
11,1896,29.8
12,1896,12.25
1,1897,9.1
2,1897,11.95
3,1897,19.6
4,1897,28.65
5,1897,38.2
6,1897,43.25
7,1897,50.8
8,1897,46.55
9,1897,39.9
10,1897,29.35
11,1897,16.4
12,1897,7.15
1,1898,4
2,1898,3.45
3,1898,15.3
4,1898,16.95
5,1898,27.7
6,1898,38.15
7,1898,42.7
8,1898,41.05
9,1898,33.9
10,1898,20.85
11,1898,5.7
12,1898,-3.95
1,1899,-7.9
2,1899,-12.75
3,1899,-1.1
4,1899,10.35
5,1899,20.7
6,1899,31.05
7,1899,32.4
8,1899,29.55
9,1899,20.8
10,1899,12.05
11,1899,-1.7
12,1899,-10.95
1,1900,-15.1
2,1900,-16.95
3,1900,-12.9
4,1900,2.05
5,1900,11.4
6,1900,20.65
7,1900,25
8,1900,24.75
9,1900,17.1
10,1900,6.25
11,1900,-7.2
12,1900,-21.55
1,1901,-24.7
2,1901,-31.25
3,1901,-17.7
4,1901,-9.45
5,1901,0.4
6,1901,11.15
7,1901,18
8,1901,13.55
9,1901,5.4
10,1901,-7.95
11,1901,-24.9
12,1901,-31.55
1,1902,-36.1
2,1902,-37.85
3,1902,-22.1
4,1902,-16.35
5,1902,-6.7
6,1902,-0.05
7,1902,4.7
8,1902,0.85
9,1902,-5.5
10,1902,-15.25
11,1902,-23
12,1902,-41.25
1,1903,-43.4
2,1903,-40.65
3,1903,-27.3
4,1903,-24.85
5,1903,-13.4
6,1903,-12.65
7,1903,-4.1
8,1903,-9.75
9,1903,-14.3
10,1903,-24.45
11,1903,-41.5
12,1903,-53.15
1,1904,-59.4
2,1904,-58.75
3,1904,-47
4,1904,-37.75
5,1904,-22.1
6,1904,-17.15
7,1904,-14.1
8,1904,-16.65
9,1904,-23.5
10,1904,-37.55
11,1904,-50
12,1904,-63.65
1,1905,-64.5
2,1905,-68.75
3,1905,-53.2
4,1905,-43.65
5,1905,-32.9
6,1905,-26.35
7,1905,-21
8,1905,-25.25
9,1905,-31.8
10,1905,-43.05
11,1905,-57.5
12,1905,-63.75
